"name","STRAIN","segment","avg_coverage","above_cutoff","SegmentSize","percent_above","segment_count","quality"
"2233_d02","H9N2","H9N2_NA",7606.91773504274,1404,1404,100,8,"good"
"2233_d02","H9N2","H9N2_NP",8886.61623246493,1497,1497,100,8,"good"
"2233_d02","H9N2","H9N2_HA",9123.61645870469,1683,1683,100,8,"good"
"2233_d02","H9N2","H9N2_PA",4348.94421199442,2151,2151,100,8,"good"
"2233_d02","H9N2","H9N2_PB1",4276.11089152393,2277,2277,100,8,"good"
"2233_d02","H9N2","H9N2_PB2",3377.55175438597,2280,2280,100,8,"good"
"2233_d02","H9N2","H9N2_NS",14806.2065972222,864,838,103.102625298329,8,"good"
"2240_d02","H9N2","H9N2_PA",4136.43142724314,2151,2151,100,8,"good"
"2240_d02","H9N2","H9N2_NS",12912.2372685185,864,838,103.102625298329,8,"good"
"2240_d02","H9N2","H9N2_PB1",4027.80808080808,2277,2277,100,8,"good"
"2240_d02","H9N2","H9N2_NP",9369.56346025384,1497,1497,100,8,"good"
"2240_d02","H9N2","H9N2_PB2",3201.41052631579,2280,2280,100,8,"good"
"2240_d02","H9N2","H9N2_NA",6428.04843304843,1404,1404,100,8,"good"
"2240_d02","H9N2","H9N2_HA",6983.53060011884,1683,1683,100,8,"good"
"2240_d02","H9N2","H9N2_MP",10815.5361507128,982,982,100,8,"good"
"Sp19_HK1073","H9N2","H9N2_PB2",7040.19210526316,2280,2280,100,8,"good"
"Sp19_HK1073","H9N2","H9N2_PB1",10798.5338164251,2277,2277,100,8,"good"
"Sp19_HK1073","H9N2","H9N2_PA",11713.3772663877,2151,2151,100,8,"good"
"Sp19_HK1073","H9N2","H9N2_HA",14134.2430184195,1683,1683,100,8,"good"
"Sp19_HK1073","H9N2","H9N2_NS",21335.662037037,864,838,103.102625298329,8,"good"
"Sp19_HK1073","H9N2","H9N2_NA",11219.8244301994,1404,1404,100,8,"good"
"Sp19_HK1073","H9N2","H9N2_NP",19212.1152304609,1497,1497,100,8,"good"
"Sp19_HK1073","H9N2","H9N2_MP",23049.0381873727,982,982,100,8,"good"
"PCR_Neg","H9N2","H9N2_HA",NA,0,1683,0,0,"bad"
"PCR_Neg","H9N2","H9N2_MP",NA,399,982,40.6313645621181,0,"bad"
"PCR_Neg","H9N2","H9N2_NA",NA,0,1404,0,0,"bad"
"PCR_Neg","H9N2","H9N2_NP",NA,0,1497,0,0,"bad"
"PCR_Neg","H9N2","H9N2_NS",NA,0,838,0,0,"bad"
"PCR_Neg","H9N2","H9N2_PA",NA,0,2151,0,0,"bad"
"PCR_Neg","H9N2","H9N2_PB1",NA,199,2277,8.73956960913483,0,"bad"
"PCR_Neg","H9N2","H9N2_PB2",NA,0,2280,0,0,"bad"
"Seq_Neg","H9N2","H9N2_HA",NA,0,1683,0,0,"bad"
"Seq_Neg","H9N2","H9N2_MP",NA,0,982,0,0,"bad"
"Seq_Neg","H9N2","H9N2_NA",NA,0,1404,0,0,"bad"
"Seq_Neg","H9N2","H9N2_NP",NA,0,1497,0,0,"bad"
"Seq_Neg","H9N2","H9N2_NS",NA,0,838,0,0,"bad"
"Seq_Neg","H9N2","H9N2_PB1",NA,0,2277,0,0,"bad"
"Seq_Neg","H9N2","H9N2_PB2",NA,0,2280,0,0,"bad"
"Seq_Neg","H9N2","H9N2_PA",NA,0,2151,0,0,"bad"
"SynRNA_10","H9N2","H9N2_HA",NA,0,1683,0,0,"bad"
"SynRNA_10","H9N2","H9N2_MP",NA,0,982,0,0,"bad"
"SynRNA_10","H9N2","H9N2_NA",NA,0,1404,0,0,"bad"
"SynRNA_10","H9N2","H9N2_NP",NA,0,1497,0,0,"bad"
"SynRNA_10","H9N2","H9N2_NS",NA,0,838,0,0,"bad"
"SynRNA_10","H9N2","H9N2_PA",NA,0,2151,0,0,"bad"
"SynRNA_10","H9N2","H9N2_PB1",NA,0,2277,0,0,"bad"
"SynRNA_10","H9N2","H9N2_PB2",NA,1731,2280,75.9210526315789,0,"bad"
