Cohort,ferretID,DPI,Sample,Virus,Titer
20SP,2858,d10,2858_d10,A/Memphis/257/2019 (H3N2),10
20SP,2874,d10,2874_d10,A/Memphis/257/2019 (H3N2),10
20SP,2878,d10,2878_d10,A/Memphis/257/2019 (H3N2),10
20SP,2890,d10,2890_d10,A/Memphis/257/2019 (H3N2),10
20SP,2882,d10,2882_d10,A/Memphis/257/2019 (H3N2),10
20SP,2859,d10,2859_d10,A/Memphis/257/2019 (H3N2),10
20SP,2866,d10,2866_d10,A/Memphis/257/2019 (H3N2),10
20SP,2878,d12,2878_d12,A/Memphis/257/2019 (H3N2),10
20SP,2876,d12,2876_d12,A/Memphis/257/2019 (H3N2),10
20SP,2875,d12,2875_d12,A/Memphis/257/2019 (H3N2),10
20SP,2877,d12,2877_d12,A/Memphis/257/2019 (H3N2),10
20SP,2853,d12,2853_d12,A/Memphis/257/2019 (H3N2),10
20SP,2855,d12,2855_d12,A/Memphis/257/2019 (H3N2),10
20SP,2856,d12,2856_d12,A/Memphis/257/2019 (H3N2),10
20SP,2854,d12,2854_d12,A/Memphis/257/2019 (H3N2),31622.7766
20SP,2857,d12,2857_d12,A/Memphis/257/2019 (H3N2),56234.13252
20SP,2858,d12,2858_d12,A/Memphis/257/2019 (H3N2),10
20SP,2874,d12,2874_d12,A/Memphis/257/2019 (H3N2),10
20SP,2886,d12,2886_d12,A/Memphis/257/2019 (H3N2),10
20SP,2890,d12,2890_d12,A/Memphis/257/2019 (H3N2),10
20SP,2882,d12,2882_d12,A/Memphis/257/2019 (H3N2),56234.13252
20SP,2859,d12,2859_d12,A/Memphis/257/2019 (H3N2),10
