name,coverage_cutoff,percent_cutoff,segment,segment_length,input_length,filtered_length,percentage,pass,median_coverage,mean_coverage
New_W17_1416_d02_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,13290.0,14542.317290552584
New_Sp19_2240_d04_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,16529.0,15453.628045157457
New_Sp19_2232_d12_rep2,200,0.95,H9N2_HA,1683,1683,150,0.08912655971479501,NO,147.0,139.05585264408793
New_Sm18_1975_d12_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.019013666072489603
New_Sm18_1975_d06_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,7705.0,7169.206773618538
New_Sm18_1913_d08_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,13661.0,13755.341057635176
New_W17_1414_d06_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,16092.0,15185.301247771837
New_Sm18_1975_d10_rep1,200,0.95,H9N2_HA,1683,1683,1245,0.7397504456327986,NO,286.0,268.95306001188357
New_Sm18_1984_d12_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_Sp20_2868_d08_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_Sp19_2254_d10_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.09803921568627451
New_F17_1794_d12_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,2.0,2.2804515745692218
New_Sm18_1912_d04_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,15636.0,14342.673796791443
New_Sp19_2231_d04_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,6845.0,7400.77302436126
New_Sm18_1984_d12_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.10279263220439691
New_F17_1801_d08_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
ReSeq_Sp19_HK1073_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,15234.0,14189.30303030303
New_P1_3918_Uninfected_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_Sm18_1975_d12_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.13666072489601902
New_Sm18_1977_d10_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.21212121212121213
New_Sp19_2254_d08_rep1,200,0.95,H9N2_HA,1683,1683,1655,0.9833630421865716,YES,866.0,808.9209744503862
New_FCC_1797_d06_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,15286.0,15051.15329768271
New_F17_1797_d06_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,17912.0,17042.913250148544
New_Sm18_1910_d06_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,1.0,1.5573380867498514
New_Sp19_2244_d08_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,3385.0,3157.179441473559
New_FCC_1787_d02_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,20352.0,18940.919786096256
New_Sm18_1914_d02_rep1,200,0.95,H9N2_HA,1683,1683,1389,0.8253119429590018,NO,359.0,334.21687462863935
New_W17_1409_d04_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,17539.0,16602.262626262625
New_F17_1789_d12_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_W17_1411_d06_rep2,200,0.95,H9N2_HA,1683,1683,1674,0.9946524064171123,YES,1884.0,1760.1996434937612
New_Sm18_1914_d06_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,17878.0,16767.617349970293
New_Sp19_2251_d06_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,13104.0,12154.08853238265
New_Sm18_1974_d04_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,14885.0,14937.079025549614
New_W17_1415_d02_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,14223.0,13577.415923945337
New_Sp19_2233_d04_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,16123.0,14964.5834818776
New_Sm18_1977_d08_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,12.0,12.481283422459892
New_W17_1408_d12_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_FCC_2232_d04_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,21106.0,19650.9797979798
